,sepal width,petal length,petal width,class
54,2.8,4.6,1.5,Iris-versicolor
108,2.5,5.8,1.8,Iris-virginica
112,3.0,5.5,2.1,Iris-virginica
17,3.5,1.4,0.3,Iris-setosa
119,2.2,5.0,1.5,Iris-virginica
103,2.9,5.6,1.8,Iris-virginica
58,2.9,4.6,1.3,Iris-versicolor
118,2.6,6.9,2.3,Iris-virginica
18,3.8,1.7,0.3,Iris-setosa
4,3.6,1.4,0.2,Iris-setosa
45,3.0,1.4,0.3,Iris-setosa
59,2.7,3.9,1.4,Iris-versicolor
39,3.4,1.5,0.2,Iris-setosa
36,3.5,1.3,0.2,Iris-setosa
117,3.8,6.7,2.2,Iris-virginica
139,3.1,5.4,2.1,Iris-virginica
107,2.9,6.3,1.8,Iris-virginica
132,2.8,5.6,2.2,Iris-virginica
126,2.8,4.8,1.8,Iris-virginica
85,3.4,4.5,1.6,Iris-versicolor
122,2.8,6.7,2.0,Iris-virginica
95,3.0,4.2,1.2,Iris-versicolor
11,3.4,1.6,0.2,Iris-setosa
113,2.5,5.0,2.0,Iris-virginica
123,2.7,4.9,1.8,Iris-virginica
12,3.0,1.4,0.1,Iris-setosa
2,3.2,1.3,0.2,Iris-setosa
104,3.0,5.8,2.2,Iris-virginica
6,3.4,1.4,0.3,Iris-setosa
127,3.0,4.9,1.8,Iris-virginica
110,3.2,5.1,2.0,Iris-virginica
65,3.1,4.4,1.4,Iris-versicolor
55,2.8,4.5,1.3,Iris-versicolor
144,3.3,5.7,2.5,Iris-virginica
138,3.0,4.8,1.8,Iris-virginica
46,3.8,1.6,0.2,Iris-setosa
62,2.2,4.0,1.0,Iris-versicolor
74,2.9,4.3,1.3,Iris-versicolor
116,3.0,5.5,1.8,Iris-virginica
93,2.3,3.3,1.0,Iris-versicolor
100,3.3,6.0,2.5,Iris-virginica
89,2.5,4.0,1.3,Iris-versicolor
10,3.7,1.5,0.2,Iris-setosa
34,3.1,1.5,0.1,Iris-setosa
32,4.1,1.5,0.1,Iris-setosa
124,3.3,5.7,2.1,Iris-virginica
38,3.0,1.3,0.2,Iris-setosa
83,2.7,5.1,1.6,Iris-versicolor
111,2.7,5.3,1.9,Iris-virginica
149,3.0,5.1,1.8,Iris-virginica
27,3.5,1.5,0.2,Iris-setosa
23,3.3,1.7,0.5,Iris-setosa
67,2.7,4.1,1.0,Iris-versicolor
9,3.1,1.5,0.1,Iris-setosa
130,2.8,6.1,1.9,Iris-virginica
97,2.9,4.3,1.3,Iris-versicolor
105,3.0,6.6,2.1,Iris-virginica
145,3.0,5.2,2.3,Iris-virginica
87,2.3,4.4,1.3,Iris-versicolor
148,3.4,5.4,2.3,Iris-virginica
109,3.6,6.1,2.5,Iris-virginica
64,2.9,3.6,1.3,Iris-versicolor
15,4.4,1.5,0.4,Iris-setosa
82,2.7,3.9,1.2,Iris-versicolor
41,2.3,1.3,0.3,Iris-setosa
80,2.4,3.8,1.1,Iris-versicolor
52,3.1,4.9,1.5,Iris-versicolor
26,3.4,1.6,0.4,Iris-setosa
76,2.8,4.8,1.4,Iris-versicolor
43,3.5,1.6,0.6,Iris-setosa
24,3.4,1.9,0.2,Iris-setosa
136,3.4,5.6,2.4,Iris-virginica
121,2.8,4.9,2.0,Iris-virginica
143,3.2,5.9,2.3,Iris-virginica
49,3.3,1.4,0.2,Iris-setosa
21,3.7,1.5,0.4,Iris-setosa
70,3.2,4.8,1.8,Iris-versicolor
3,3.1,1.5,0.2,Iris-setosa
142,2.7,5.1,1.9,Iris-virginica
30,3.1,1.6,0.2,Iris-setosa
147,3.0,5.2,2.0,Iris-virginica
106,2.5,4.5,1.7,Iris-virginica
47,3.2,1.4,0.2,Iris-setosa
115,3.2,5.3,2.3,Iris-virginica
13,3.0,1.1,0.1,Iris-setosa
88,3.0,4.1,1.3,Iris-versicolor
8,2.9,1.4,0.2,Iris-setosa
81,2.4,3.7,1.0,Iris-versicolor
60,2.0,3.5,1.0,Iris-versicolor
0,3.5,1.4,0.2,Iris-setosa
1,3.0,1.4,0.2,Iris-setosa
57,2.4,3.3,1.0,Iris-versicolor
22,3.6,1.0,0.2,Iris-setosa
61,3.0,4.2,1.5,Iris-versicolor
63,2.9,4.7,1.4,Iris-versicolor
7,3.4,1.5,0.2,Iris-setosa
86,3.1,4.7,1.5,Iris-versicolor
96,2.9,4.2,1.3,Iris-versicolor
68,2.2,4.5,1.5,Iris-versicolor
50,3.2,4.7,1.4,Iris-versicolor
101,2.7,5.1,1.9,Iris-virginica
20,3.4,1.7,0.2,Iris-setosa
25,3.0,1.6,0.2,Iris-setosa
134,2.6,5.6,1.4,Iris-virginica
71,2.8,4.0,1.3,Iris-versicolor
129,3.0,5.8,1.6,Iris-virginica
79,2.6,3.5,1.0,Iris-versicolor
133,2.8,5.1,1.5,Iris-virginica
137,3.1,5.5,1.8,Iris-virginica
72,2.5,4.9,1.5,Iris-versicolor
140,3.1,5.6,2.4,Iris-virginica
37,3.1,1.5,0.1,Iris-setosa
